city,month,tmean
Portland,1,5.168900012969971
Portland,2,6.360099792480469
Portland,3,8.408499717712402
Portland,4,10.75220012664795
Portland,5,14.22599983215332
Portland,6,16.80299949645996
Portland,7,20.039600372314453
Portland,8,20.305099487304688
Portland,9,17.53730010986328
Portland,10,12.461400032043457
Portland,11,7.894899845123291
Portland,12,4.94379997253418
Eugene,1,5.070799827575684
Eugene,2,6.16409969329834
Eugene,3,8.00160026550293
Eugene,4,10.035999298095703
Eugene,5,13.140199661254883
Eugene,6,15.878899574279785
Eugene,7,19.556798934936523
Eugene,8,19.642398834228516
Eugene,9,16.967300415039062
Eugene,10,11.893499374389648
Eugene,11,7.469799995422363
Eugene,12,4.744199752807617
Salem,1,5.242700099945068
Salem,2,6.341899871826172
Salem,3,8.198100090026855
Salem,4,10.280699729919434
Salem,5,13.744099617004395
Salem,6,16.43470001220703
Salem,7,19.96769905090332
Salem,8,20.128398895263672
Salem,9,17.368398666381836
Salem,10,12.266900062561035
Salem,11,7.722899913787842
Salem,12,4.898799896240234
Gresham,1,5.079599857330322
Gresham,2,6.2500996589660645
Gresham,3,8.153299331665039
Gresham,4,10.517600059509277
Gresham,5,14.017699241638184
Gresham,6,16.505300521850586
Gresham,7,19.886699676513672
Gresham,8,20.15399932861328
Gresham,9,17.443099975585938
Gresham,10,12.338299751281738
Gresham,11,7.743299961090088
Gresham,12,4.805999755859375
Hillsboro,1,5.034899711608887
Hillsboro,2,6.177799701690674
Hillsboro,3,8.213299751281738
Hillsboro,4,10.484399795532227
Hillsboro,5,14.076499938964844
Hillsboro,6,16.652099609375
Hillsboro,7,19.982898712158203
Hillsboro,8,20.170799255371094
Hillsboro,9,17.354799270629883
Hillsboro,10,12.152599334716797
Hillsboro,11,7.549499988555908
Hillsboro,12,4.723499774932861
Bend,1,0.5577999949455261
Bend,2,1.4383000135421753
Bend,3,3.8513998985290527
Bend,4,6.18589973449707
Bend,5,10.30270004272461
Bend,6,13.751599311828613
Bend,7,18.37889862060547
Bend,8,18.187999725341797
Bend,9,14.225099563598633
Bend,10,8.607099533081055
Bend,11,3.2716000080108643
Bend,12,-0.22849999368190765
Beaverton,1,5.133899688720703
Beaverton,2,6.2683000564575195
Beaverton,3,8.2677001953125
Beaverton,4,10.562899589538574
Beaverton,5,14.029999732971191
Beaverton,6,16.586299896240234
Beaverton,7,19.920900344848633
Beaverton,8,20.15530014038086
Beaverton,9,17.369998931884766
Beaverton,10,12.21560001373291
Beaverton,11,7.628499984741211
Beaverton,12,4.768199920654297
Medford,1,4.434000015258789
Medford,2,6.335799694061279
Medford,3,8.304900169372559
Medford,4,10.672200202941895
Medford,5,14.680599212646484
Medford,6,18.14099884033203
Medford,7,22.48740005493164
Medford,8,22.224599838256836
Medford,9,18.617799758911133
Medford,10,12.590499877929688
Medford,11,7.134999752044678
Medford,12,3.9275999069213867
Springfield,1,5.035899639129639
Springfield,2,6.163300037384033
Springfield,3,7.985699653625488
Springfield,4,10.028499603271484
Springfield,5,13.145099639892578
Springfield,6,15.865900039672852
Springfield,7,19.507999420166016
Springfield,8,19.58639907836914
Springfield,9,16.920799255371094
Springfield,10,11.89069938659668
Springfield,11,7.457699775695801
Springfield,12,4.70989990234375
Corvallis,1,5.060499668121338
Corvallis,2,6.196499824523926
Corvallis,3,8.029500007629395
Corvallis,4,10.078499794006348
Corvallis,5,13.348799705505371
Corvallis,6,16.044898986816406
Corvallis,7,19.535900115966797
Corvallis,8,19.63559913635254
Corvallis,9,17.0221004486084
Corvallis,10,11.971099853515625
Corvallis,11,7.5329999923706055
Corvallis,12,4.695300102233887
Albany,1,5.094599723815918
Albany,2,6.240299701690674
Albany,3,8.086699485778809
Albany,4,10.174099922180176
Albany,5,13.451499938964844
Albany,6,16.138500213623047
Albany,7,19.627300262451172
Albany,8,19.712400436401367
Albany,9,17.08650016784668
Albany,10,12.02929973602295
Albany,11,7.567099571228027
Albany,12,4.719099998474121
Tigard,1,5.156099796295166
Tigard,2,6.303999900817871
Tigard,3,8.2972993850708
Tigard,4,10.568699836730957
Tigard,5,14.02199935913086
Tigard,6,16.60059928894043
Tigard,7,19.942798614501953
Tigard,8,20.169198989868164
Tigard,9,17.41659927368164
Tigard,10,12.266900062561035
Tigard,11,7.674899578094482
Tigard,12,4.792999744415283
Lake Oswego,1,5.331199645996094
Lake Oswego,2,6.51609992980957
Lake Oswego,3,8.530499458312988
Lake Oswego,4,10.930099487304688
Lake Oswego,5,14.354199409484863
Lake Oswego,6,16.9424991607666
Lake Oswego,7,20.25469970703125
Lake Oswego,8,20.480798721313477
Lake Oswego,9,17.72519874572754
Lake Oswego,10,12.618199348449707
Lake Oswego,11,8.005800247192383
Lake Oswego,12,5.049799919128418
Keizer,1,5.264100074768066
Keizer,2,6.376399993896484
Keizer,3,8.227099418640137
Keizer,4,10.320499420166016
Keizer,5,13.790800094604492
Keizer,6,16.464399337768555
Keizer,7,19.97749900817871
Keizer,8,20.110599517822266
Keizer,9,17.360898971557617
Keizer,10,12.27810001373291
Keizer,11,7.741499900817871
Keizer,12,4.911099910736084
Grants Pass,1,4.734799861907959
Grants Pass,2,6.453399658203125
Grants Pass,3,8.39799976348877
Grants Pass,4,10.685400009155273
Grants Pass,5,14.547599792480469
Grants Pass,6,17.923799514770508
Grants Pass,7,21.960599899291992
Grants Pass,8,21.644298553466797
Grants Pass,9,18.21150016784668
Grants Pass,10,12.509900093078613
Grants Pass,11,7.405299663543701
Grants Pass,12,4.223499774932861
Oregon City,1,5.276400089263916
Oregon City,2,6.454099655151367
Oregon City,3,8.432700157165527
Oregon City,4,10.830900192260742
Oregon City,5,14.225500106811523
Oregon City,6,16.81009864807129
Oregon City,7,20.175498962402344
Oregon City,8,20.400999069213867
Oregon City,9,17.65869903564453
Oregon City,10,12.564799308776855
Oregon City,11,7.945099830627441
Oregon City,12,4.9899001121521
McMinnville,1,5.113499641418457
McMinnville,2,6.26099967956543
McMinnville,3,8.081500053405762
McMinnville,4,10.21780014038086
McMinnville,5,13.68079948425293
McMinnville,6,16.34510040283203
McMinnville,7,19.92569923400879
McMinnville,8,20.10070037841797
McMinnville,9,17.305700302124023
McMinnville,10,12.127299308776855
McMinnville,11,7.604799747467041
McMinnville,12,4.813199996948242
Redmond,1,1.1021000146865845
Redmond,2,2.1191999912261963
Redmond,3,4.607800006866455
Redmond,4,7.005300045013428
Redmond,5,11.170000076293945
Redmond,6,14.694600105285645
Redmond,7,19.13789939880371
Redmond,8,18.842599868774414
Redmond,9,14.732599258422852
Redmond,10,9.041199684143066
